i;I;V;Phi
90;0;0;0.004004193829844523
91;0;0;0.005066978472427703
92;0;0;0.006097110809087373
93;0;0;0.00708008107312719
94;0;0;0.008000067854167904
95;0;0;0.008841001313510934
96;0;0;0.009589337812717869
97;0;0;0.01023422504565076
98;0;0;0.0107656422749295
99;0;0;0.01117328305508625
100;0;0;0.01144696845530847
101;0;0;0.01157597279254365
102;0;0;0.01155450090803484
103;0;0;0.01138393568220937
104;0;0;0.01107263600552045
105;0;0;0.01062918322861455
106;0;0;0.01006624592167574
107;0;0;0.009391855583806964
108;0;0;0.008616418415480664
109;0;0;0.007751509606148508
110;0;0;0.006811902088542996
111;0;0;0.005814406755522498
112;0;0;0.00477448836451897
113;0;0;0.003704803662424892
114;0;0;0.00261486173554064
115;0;0;0.001511982676190595
116;0;0;0.0004016997676941757
117;0;0;-0.0007101611149645803
118;0;0;-0.001818956359823751
119;0;0;-0.002918991902532544
120;0;0;-0.004004197131203369
121;0;0;-0.005066980165656321
122;0;0;-0.006096989246962866
123;0;0;-0.007080004348019146
124;0;0;-0.008000081935276784
125;0;0;-0.008840775482466035
126;0;0;-0.00958951443867
127;0;0;-0.01023425640235144
128;0;0;-0.01076529602511406
129;0;0;-0.01117335843546187
130;0;0;-0.01144726342713677
131;0;0;-0.01157630895012148
132;0;0;-0.01155448175019571
133;0;0;-0.01138419427082121
134;0;0;-0.01107246188207335
135;0;0;-0.0106291925313301
136;0;0;-0.01006615949436019
137;0;0;-0.009392241857714275
138;0;0;-0.00861633476576815
139;0;0;-0.007751501297246737
140;0;0;-0.006811957956594001
141;0;0;-0.005814447337892575
142;0;0;-0.0047743890082697
143;0;0;-0.003704810622877778
144;0;0;-0.002614877219143683
145;0;0;-0.001511968843188464
146;0;0;-0.0004017112599874135
147;0;0;0.0007102383066196666
148;0;0;0.001818958427647078
149;0;0;0.002918946103121865
150;0;0;0.004004191174493737
