i;I;V;Phi
90;0;0;0.003996985719108167
91;0;0;0.005057477077820609
92;0;0;0.006084740316930157
93;0;0;0.007064678038941665
94;0;0;0.007981854369223199
95;0;0;0.008820243617365836
96;0;0;0.009567028070929944
97;0;0;0.01020973413346651
98;0;0;0.01073949586646442
99;0;0;0.01114485700818002
100;0;0;0.01141708057395339
101;0;0;0.01154548503516952
102;0;0;0.01152543886617031
103;0;0;0.0113563108793975
104;0;0;0.01104701490048081
105;0;0;0.01060648689711595
106;0;0;0.01004483136935016
107;0;0;0.009373091141075067
108;0;0;0.008600169691582726
109;0;0;0.007739033666569532
110;0;0;0.006802816465968007
111;0;0;0.005808475694417413
112;0;0;0.004771103377317959
113;0;0;0.00370335753575761
114;0;0;0.002614949533255665
115;0;0;0.001513006689121936
116;0;0;0.0004041477262670492
117;0;0;-0.000706889063253207
118;0;0;-0.001814473697027643
119;0;0;-0.002913300999932405
120;0;0;-0.003996934848717049
121;0;0;-0.005057557933435701
122;0;0;-0.006084652247196121
123;0;0;-0.007064593747365333
124;0;0;-0.007981898669795821
125;0;0;-0.008820152049279249
126;0;0;-0.009566800227366737
127;0;0;-0.01020963912437985
128;0;0;-0.01073924345058243
129;0;0;-0.01114479645412368
130;0;0;-0.01141722158453888
131;0;0;-0.0115454046101182
132;0;0;-0.01152483615068484
133;0;0;-0.01135694610882131
134;0;0;-0.01104716567804183
135;0;0;-0.0106066554947229
136;0;0;-0.01004498223901908
137;0;0;-0.009372984658203201
138;0;0;-0.008600212485110219
139;0;0;-0.007738816773850146
140;0;0;-0.006802881265500287
141;0;0;-0.005808493110723502
142;0;0;-0.004771094381701887
143;0;0;-0.003703335363938569
144;0;0;-0.002614805178330704
145;0;0;-0.001513029133111253
146;0;0;-0.0004040838406886574
147;0;0;0.0007069076015730094
148;0;0;0.001814497198405515
149;0;0;0.002913364091804772
150;0;0;0.003996993210709901
