unixtime;input;ESP_CC;cc_overflow_count;
1627542868.013519;1;182472033;0;
1627542868.01866;2;183317442;0;
1627542868.0237105;3;184170300;0;
1627542868.0294983;1;185031033;0;
1627542868.034438;2;185877306;0;
1627542868.0399425;3;186726722;0;
1627542868.0451646;1;187592083;0;
1627542868.0505438;2;188435746;0;
1627542868.055808;3;189286152;0;
1627542868.0616794;1;190148145;0;
1627542868.0666945;2;190996446;0;
1627542868.0721216;3;191844546;0;
1627542868.07732;1;192706113;0;
1627542868.083294;2;193552722;0;
1627542868.0880568;3;194395869;0;
1627542868.09306;1;195256386;0;
1627542868.09842;2;196100441;0;
1627542868.1041138;3;196951107;0;
1627542868.1093137;1;197814940;0;
1627542868.1145186;2;198649274;0;
1627542868.1199188;3;199498634;0;
1627542868.125844;1;200361313;0;
1627542868.1306834;2;201208832;0;
1627542868.13596;3;202057162;0;
1627542868.1412272;1;202919473;0;
1627542868.1465096;2;203763864;0;
1627542868.151922;3;204616414;0;
1627542868.1573546;1;205476373;0;
1627542868.1624382;2;206320426;0;
1627542868.1678443;3;207169292;0;
1627542868.1733243;1;208033129;0;
1627542868.178466;2;208876156;0;
1627542868.183622;3;209725876;0;
1627542868.1891081;1;210587169;0;
1627542868.1943882;2;211435140;0;
1627542868.1996458;3;212283714;0;
1627542868.2051506;1;213145879;0;
1627542868.210406;2;213991456;0;
1627542868.2156816;3;214844252;0;
1627542868.221286;1;215705221;0;
1627542868.2265384;2;216552070;0;
1627542868.2318914;3;217401964;0;
1627542868.2374952;1;218258946;0;
1627542868.2427971;2;219102761;0;
1627542868.247623;3;219953505;0;
1627542868.2524936;1;220693968;0;
1627542868.258323;2;221664293;0;
1627542868.2635746;3;222512385;0;
1627542868.2690668;1;223365319;0;
1627542868.2744617;2;224211982;0;
1627542868.2795613;3;225064136;0;
1627542868.2856236;1;225924843;0;
1627542868.290669;2;226768832;0;
1627542868.295892;3;227619766;0;
1627542868.3009243;1;228483511;0;
1627542868.3064072;2;229327192;0;
1627542868.3116825;3;230176274;0;
1627542868.3172994;1;231039209;0;
1627542868.3223407;2;231886684;0;
1627542868.3276558;3;232735082;0;
1627542868.333087;1;233597547;0;
1627542868.3384624;2;234441884;0;
1627542868.3438182;3;235294546;0;
1627542868.3497062;1;236154575;0;
1627542868.3541453;2;236998592;0;
1627542868.3596764;3;237847704;0;
1627542868.365122;1;238711815;0;
1627542868.370411;2;239554940;0;
1627542868.3756304;3;240404700;0;
1627542868.3811038;1;241266083;0;
1627542868.38639;2;242105111;0;
1627542868.3914723;3;242953733;0;
1627542868.397112;1;243815848;0;
1627542868.4023561;2;244661425;0;
1627542868.4074726;3;245514375;0;
1627542868.4130576;1;246375372;0;
1627542868.418322;2;247213416;0;
1627542868.4235797;3;248063376;0;
1627542868.4291382;1;248929333;0;
1627542868.4345372;2;249773418;0;
1627542868.4397876;3;250624128;0;
1627542868.4455645;1;251486669;0;
1627542868.4504402;2;252335290;0;
1627542868.455776;3;253183486;0;
1627542868.4610677;1;254045319;0;
1627542868.4663851;2;254892446;0;
1627542868.4718218;3;255745018;0;
1627542868.477322;1;256605757;0;
1627542868.4822845;2;257450136;0;
1627542868.487823;3;258301078;0;
1627542868.493199;1;259164957;0;
1627542868.4985065;2;260008562;0;
1627542868.5034816;3;260857594;0;
1627542868.5094864;1;261720349;0;
1627542868.5144727;2;262567642;0;
1627542868.5194004;3;263415876;0;
1627542868.5250545;1;264278175;0;
1627542868.5304825;2;265122876;0;
1627542868.5359488;3;265975860;0;
1627542868.5416174;1;266827286;0;
1627542868.546291;2;267671753;0;
1627542868.5517542;3;268521363;0;
1627542868.557146;1;269385970;0;
1627542868.5625582;2;270229265;0;
1627542868.567994;3;271079041;0;
1627542868.573169;1;271931749;0;
1627542868.5786562;2;272779762;0;
1627542868.583554;3;273628208;0;
1627542868.5889587;1;274490229;0;
1627542868.5944638;2;275335610;0;
1627542868.5997245;3;276188544;0;
