[1.465343 1.465343] ;25615;-7112;-2898
[1.488075 0.022731] ;25586;-7110;-2908
[1.517693 0.029618] ;25588;-7075;-2912
[1.547555 0.029862] ;25591;-7057;-2922
[1.558370 0.010815] ;25620;-7082;-2903
[1.577015 0.018645] ;25591;-7070;-2915
[1.587128 0.010113] ;25610;-7062;-2915
[1.608512 0.021385] ;25612;-7107;-2912
[1.626791 0.018278] ;25596;-7100;-2912
[1.657562 0.030772] ;25612;-7090;-2892
[1.686359 0.028796] ;25581;-7052;-2901
[1.716284 0.029925] ;25593;-7097;-2912
[1.746061 0.029777] ;25586;-7090;-2892
[1.757122 0.011061] ;25620;-7110;-2906
[1.775461 0.018339] ;25583;-7080;-2892
[1.785504 0.010043] ;25596;-7085;-2908
[1.795428 0.009924] ;25588;-7077;-2901
[1.806475 0.011047] ;25612;-7120;-2903
[1.835530 0.029054] ;25593;-7110;-2901
[1.865362 0.029832] ;25591;-7092;-2896
[1.884813 0.019451] ;25591;-7087;-2896
[1.894551 0.009738] ;25610;-7085;-2892
[1.924589 0.030038] ;25588;-7080;-2906
[1.934755 0.010167] ;25598;-7082;-2915
[1.944512 0.009757] ;25586;-7077;-2906
[1.955692 0.011180] ;25620;-7095;-2908
[1.974403 0.018711] ;25588;-7077;-2892
[1.984113 0.009710] ;25602;-7085;-2906
[1.994400 0.010287] ;25596;-7082;-2906
[2.005246 0.010846] ;25617;-7100;-2906
[2.023801 0.018555] ;25598;-7087;-2892
[2.033741 0.009940] ;25602;-7080;-2906
[2.044114 0.010373] ;25588;-7082;-2908
[2.055099 0.010984] ;25617;-7097;-2917
[2.073506 0.018408] ;25598;-7082;-2920
[2.083241 0.009734] ;25591;-7085;-2922
[2.113400 0.030159] ;25607;-7107;-2908
[2.143317 0.029917] ;25602;-7102;-2892
[2.154208 0.010891] ;25626;-7112;-2901
[2.182919 0.028711] ;25605;-7092;-2912
[2.212968 0.030049] ;25596;-7072;-2892
[2.242813 0.029845] ;25605;-7080;-2898
[2.253772 0.010959] ;25617;-7105;-2898
[2.272195 0.018423] ;25598;-7095;-2896
[2.282128 0.009933] ;25586;-7085;-2892
[2.292162 0.010034] ;25598;-7095;-2901
[2.303193 0.011031] ;25615;-7097;-2898
[2.321751 0.018558] ;25588;-7080;-2906
[2.331686 0.009936] ;25572;-7085;-2906
[2.353435 0.021749] ;25622;-7100;-2901
[2.371835 0.018400] ;25591;-7090;-2915
[2.402580 0.030745] ;25612;-7097;-2901
[2.431448 0.028867] ;25588;-7090;-2915
[2.461209 0.029762] ;25598;-7112;-2896
[2.491076 0.029867] ;25598;-7110;-2892
[2.501732 0.010656] ;25570;-7095;-2908
[2.520572 0.018840] ;25546;-7085;-2896
[2.530227 0.009655] ;25548;-7087;-2898
[2.540528 0.010301] ;25536;-7090;-2898
[2.551410 0.010882] ;25615;-7115;-2896
[2.569872 0.018462] ;25591;-7082;-2890
[2.579875 0.010002] ;25591;-7080;-2892
[2.589974 0.010100] ;25586;-7100;-2892
[2.601091 0.011117] ;25610;-7102;-2901
[2.619576 0.018485] ;25583;-7100;-2922
[2.629453 0.009877] ;25598;-7097;-2922
[2.639577 0.010123] ;25591;-7092;-2908
[2.650934 0.011357] ;25615;-7075;-2903
[2.679560 0.028625] ;25596;-7062;-2912
[2.729129 0.049569] ;25598;-7082;-2896
[2.758837 0.029708] ;25591;-7075;-2887
[2.788917 0.030081] ;25588;-7065;-2885
[2.799758 0.010841] ;25622;-7105;-2912
[2.818179 0.018420] ;25583;-7080;-2898
[2.828236 0.010057] ;25586;-7077;-2906
[2.838212 0.009977] ;25591;-7080;-2920
[2.849637 0.011425] ;25617;-7085;-2896
[2.867851 0.018214] ;25581;-7072;-2896
[2.877884 0.010032] ;25591;-7067;-2890
[2.888023 0.010139] ;25591;-7052;-2896
[2.898854 0.010830] ;25615;-7087;-2912
[2.917344 0.018490] ;25596;-7070;-2925
[2.927442 0.010098] ;25591;-7080;-2922
[2.958018 0.030576] ;25586;-7077;-2898
[2.967283 0.009265] ;25588;-7075;-2878
[2.977555 0.010272] ;25593;-7065;-2887
[3.007413 0.029858] ;25588;-7082;-2898
[3.026781 0.019367] ;25583;-7087;-2901
[3.048278 0.021497] ;25620;-7117;-2898
[3.066688 0.018410] ;25607;-7100;-2906
[3.076669 0.009981] ;25591;-7110;-2906
[3.086701 0.010032] ;25586;-7102;-2906
[3.098015 0.011314] ;25612;-7117;-2903
[3.116446 0.018431] ;25598;-7112;-2901
[3.165648 0.049202] ;25591;-7087;-2903
[3.175753 0.010106] ;25596;-7077;-2898
[3.185968 0.010214] ;25593;-7085;-2912
[3.196889 0.010921] ;25617;-7100;-2912
[3.225872 0.028983] ;25586;-7062;-2906
[3.255630 0.029759] ;25591;-7077;-2890
[3.275118 0.019487] ;25605;-7090;-2892
[3.284973 0.009855] ;25593;-7067;-2906
[3.315084 0.030111] ;25588;-7095;-2896
[3.324959 0.009875] ;25598;-7072;-2903
[3.354807 0.029848] ;25588;-7095;-2890
[3.364874 0.010067] ;25588;-7090;-2890
[3.384282 0.019408] ;25607;-7092;-2896
[3.414266 0.029984] ;25575;-7100;-2887
[3.424003 0.009737] ;25591;-7095;-2896
[3.434130 0.010127] ;25591;-7087;-2890
[3.445313 0.011183] ;25612;-7107;-2896
[3.463527 0.018214] ;25605;-7095;-2908
[3.474002 0.010475] ;25596;-7092;-2903
[3.483876 0.009874] ;25602;-7095;-2903
[3.513822 0.029946] ;25586;-7077;-2908
[3.523622 0.009799] ;25596;-7082;-2906
[3.553471 0.029849] ;25586;-7077;-2912
[3.573090 0.019619] ;25572;-7090;-2903
[3.582995 0.009904] ;25586;-7102;-2908
[3.612870 0.029876] ;25583;-7105;-2915
[3.622758 0.009888] ;25586;-7092;-2915
[3.632867 0.010109] ;25586;-7087;-2908
[3.643845 0.010978] ;25620;-7097;-2898
[3.662442 0.018596] ;25596;-7085;-2892
[3.672433 0.009991] ;25593;-7055;-2892
[3.682476 0.010044] ;25586;-7075;-2901
[3.693631 0.011155] ;25586;-7102;-2903
[3.712272 0.018641] ;25570;-7072;-2901
[3.722133 0.009861] ;25557;-7075;-2906
[3.751838 0.029704] ;25583;-7072;-2898
[3.761811 0.009974] ;25588;-7067;-2896
[3.793037 0.031225] ;25620;-7092;-2892
[3.821699 0.028663] ;25610;-7040;-2903
[3.851429 0.029730] ;25586;-7110;-2908
[3.870955 0.019526] ;25588;-7090;-2912
[3.880792 0.009836] ;25588;-7097;-2912
[3.910896 0.030104] ;25591;-7092;-2908
[3.921031 0.010136] ;25591;-7085;-2925
[3.930763 0.009732] ;25583;-7065;-2901
[3.942130 0.011367] ;25615;-7115;-2912
[3.960567 0.018437] ;25593;-7097;-2908
[4.009984 0.049417] ;25591;-7090;-2901
[4.019783 0.009799] ;25602;-7087;-2920
[4.030002 0.010219] ;25593;-7102;-2908
[4.041118 0.011116] ;25610;-7117;-2898
[4.069774 0.028657] ;25591;-7107;-2892
[4.099794 0.030019] ;25596;-7095;-2866
[4.129465 0.029671] ;25598;-7100;-2878
[4.140656 0.011192] ;25620;-7075;-2915
[4.159155 0.018499] ;25575;-7040;-2892
[4.169054 0.009898] ;25588;-7037;-2901
[4.179219 0.010165] ;25586;-7032;-2903
[4.190429 0.011211] ;25607;-7107;-2898
[4.208530 0.018101] ;25596;-7095;-2892
[4.218464 0.009933] ;25612;-7097;-2896
[4.228473 0.010009] ;25605;-7085;-2885
[4.239779 0.011307] ;25612;-7100;-2898
[4.258259 0.018480] ;25605;-7072;-2887
[4.268141 0.009881] ;25593;-7067;-2901
[4.278574 0.010434] ;25602;-7057;-2903
[4.289504 0.010929] ;25615;-7095;-2903
[4.308050 0.018547] ;25588;-7077;-2892
[4.317821 0.009770] ;25583;-7072;-2896
[4.327927 0.010106] ;25598;-7077;-2896
[4.339179 0.011252] ;25622;-7100;-2906
[4.367929 0.028750] ;25583;-7097;-2908
