unixtime;Bx;By;Bz
1615395146.075461;1062;-6060;-12172
1615395146.091609;1058;-6062;-12188
1615395146.1114516;1065;-6067;-12172
1615395146.1512582;1056;-6062;-12178
1615395146.2010236;1056;-6070;-12165
1615395146.2504873;1062;-6062;-12172
1615395146.2606893;1067;-6065;-12176
1615395146.2901893;1058;-6070;-12183
1615395146.299858;1058;-6057;-12172
1615395146.330361;1056;-6067;-12176
1615395146.359883;1056;-6065;-12172
1615395146.3707423;1056;-6057;-12167
1615395146.3889906;1067;-6067;-12170
1615395146.3992872;1067;-6052;-12170
1615395146.4091723;1065;-6062;-12172
1615395146.4203975;1062;-6057;-12178
1615395146.4890747;1051;-6060;-12170
1615395146.499033;1056;-6062;-12181
1615395146.5085862;1053;-6072;-12170
1615395146.5196662;1062;-6062;-12176
1615395146.5381432;1053;-6060;-12162
1615395146.5479312;1053;-6062;-12172
1615395146.5583124;1048;-6057;-12170
1615395146.5693488;1065;-6062;-12178
1615395146.5882983;1062;-6052;-12165
1615395146.5981963;1051;-6067;-12170
1615395146.6078305;1051;-6060;-12172
1615395146.6191764;1056;-6057;-12178
1615395146.648235;1046;-6067;-12186
1615395146.6776786;1048;-6065;-12167
1615395146.707381;1065;-6067;-12156
1615395146.718727;1053;-6062;-12178
1615395146.737016;1067;-6045;-12176
1615395146.7469697;1056;-6047;-12172
1615395146.756962;1058;-6045;-12181
1615395146.767919;1056;-6065;-12170
1615395146.7969918;1053;-6070;-12178
1615395146.8271446;1065;-6065;-12165
1615395146.8470275;1046;-6055;-12165
1615395146.8568223;1065;-6075;-12167
1615395146.8865104;1058;-6062;-12158
1615395146.9466672;1062;-6067;-12183
1615395146.9760487;1058;-6062;-12167
1615395147.0258217;1053;-6065;-12170
1615395147.0355155;1072;-6050;-12172
1615395147.0668902;1058;-6060;-12170
1615395147.095138;1062;-6065;-12172
1615395147.1253653;1046;-6072;-12172
1615395147.1548102;1058;-6080;-12165
1615395147.165894;1056;-6062;-12181
1615395147.1841004;1051;-6052;-12170
1615395147.2245994;1067;-6057;-12167
1615395147.2435997;1065;-6065;-12158
1615395147.2739058;1065;-6067;-12156
1615395147.2837675;1072;-6062;-12165
1615395147.2936745;1062;-6057;-12162
1615395147.323906;1062;-6065;-12183
1615395147.3535442;1067;-6067;-12172
1615395147.364286;1058;-6060;-12170
1615395147.3941348;1056;-6055;-12170
1615395147.423411;1058;-6060;-12153
1615395147.4532006;1062;-6062;-12170
1615395147.4828637;1058;-6055;-12181
1615395147.5134134;1062;-6065;-12172
1615395147.5427322;1075;-6067;-12172
1615395147.571869;1070;-6055;-12153
1615395147.5823414;1053;-6065;-12167
1615395147.6017745;1053;-6057;-12162
1615395147.6422536;1053;-6060;-12176
1615395147.6719916;1065;-6050;-12158
1615395147.7017608;1067;-6057;-12172
1615395147.7126274;1062;-6055;-12178
1615395147.7308998;1065;-6067;-12165
1615395147.7411735;1062;-6062;-12186
1615395147.7511568;1058;-6070;-12181
1615395147.7623558;1058;-6067;-12178
1615395147.780667;1062;-6057;-12165
1615395147.7908702;1075;-6055;-12167
1615395147.800844;1058;-6042;-12170
1615395147.8119287;1056;-6062;-12176
1615395147.830486;1070;-6060;-12162
1615395147.8405812;1065;-6062;-12178
1615395147.850008;1075;-6055;-12176
1615395147.8611004;1058;-6067;-12170
1615395147.890646;1046;-6065;-12167
1615395147.9218354;1051;-6057;-12181
1615395147.9495747;1065;-6052;-12167
1615395147.9608524;1065;-6062;-12170
1615395147.9791498;1056;-6050;-12153
1615395147.9892359;1067;-6057;-12181
1615395147.9994211;1058;-6055;-12162
1615395148.010685;1065;-6062;-12176
1615395148.0395913;1053;-6050;-12178
1615395148.0894175;1067;-6067;-12170
1615395148.099208;1065;-6062;-12165
1615395148.1100395;1070;-6057;-12178
1615395148.1285427;1065;-6050;-12172
1615395148.1388538;1065;-6052;-12176
1615395148.1487563;1058;-6057;-12188
1615395148.1596494;1056;-6060;-12170
1615395148.1782095;1062;-6050;-12162
1615395148.1886706;1075;-6060;-12176
1615395148.1982362;1065;-6057;-12172
1615395148.2093422;1056;-6060;-12170
1615395148.2278883;1048;-6047;-12162
1615395148.2382803;1065;-6055;-12165
1615395148.2478042;1065;-6060;-12165
1615395148.258866;1062;-6062;-12165
1615395148.288438;1058;-6060;-12167
1615395148.317508;1058;-6067;-12162
1615395148.3472025;1051;-6060;-12165
1615395148.3583357;1065;-6062;-12167
1615395148.3770285;1058;-6047;-12172
1615395148.4370298;1053;-6067;-12170
1615395148.4668915;1058;-6070;-12167
1615395148.4966798;1046;-6067;-12176
1615395148.5265672;1065;-6052;-12176
1615395148.5365345;1058;-6055;-12170
1615395148.566533;1053;-6060;-12158
1615395148.5854452;1065;-6065;-12165
1615395148.5957341;1067;-6060;-12167
1615395148.6259282;1062;-6065;-12156
1615395148.6358104;1053;-6062;-12181
1615395148.6457367;1067;-6070;-12165
