unixtime;Bx;By;Bz
1615395490.1106398;-2966;-2065;-11206
1615395490.1236022;-2966;-2082;-11206
1615395490.193029;-2968;-2090;-11213
1615395490.2030091;-2986;-2095;-11202
1615395490.214043;-2983;-2085;-11206
1615395490.242856;-2968;-2077;-11211
1615395490.27275;-2966;-2080;-11192
1615395490.3026283;-2981;-2085;-11200
1615395490.3137932;-2976;-2077;-11213
1615395490.3320608;-2990;-2070;-11202
1615395490.34241;-2983;-2077;-11206
1615395490.3521764;-2978;-2085;-11208
1615395490.3820345;-2971;-2077;-11206
1615395490.4128149;-2983;-2080;-11202
1615395490.4416776;-2978;-2077;-11197
1615395490.4716744;-2978;-2065;-11216
1615395490.490544;-2957;-2075;-11195
1615395490.5008497;-2966;-2070;-11206
1615395490.5305657;-2983;-2077;-11218
1615395490.5407724;-2978;-2087;-11222
1615395490.5504248;-2973;-2070;-11202
1615395490.561712;-2978;-2075;-11211
1615395490.5802548;-2983;-2082;-11197
1615395490.5903172;-2973;-2075;-11206
1615395490.6002245;-2966;-2065;-11197
1615395490.6115148;-2981;-2075;-11200
1615395490.6300235;-2983;-2077;-11195
1615395490.640084;-2986;-2082;-11197
1615395490.6701078;-2973;-2085;-11200
1615395490.7195;-2971;-2077;-11206
1615395490.7297094;-2971;-2080;-11208
1615395490.7603807;-2978;-2077;-11202
1615395490.789376;-2981;-2085;-11206
1615395490.8191595;-2962;-2087;-11213
1615395490.8489556;-2968;-2082;-11202
1615395490.860013;-2976;-2085;-11208
1615395490.8779733;-2960;-2067;-11197
1615395490.888208;-2968;-2080;-11211
1615395490.8983502;-2978;-2077;-11211
1615395490.9094539;-2978;-2075;-11208
1615395490.9278333;-2973;-2080;-11192
1615395490.9377367;-2962;-2075;-11200
1615395491.0178554;-2968;-2077;-11197
1615395491.067491;-2971;-2085;-11211
1615395491.0775378;-2971;-2082;-11208
1615395491.0965753;-2976;-2080;-11202
1615395491.13719;-2971;-2085;-11206
1615395491.1665742;-2981;-2075;-11195
1615395491.186183;-2978;-2062;-11202
1615395491.196213;-2971;-2077;-11208
1615395491.2070782;-2976;-2080;-11211
1615395491.2366073;-2968;-2077;-11197
1615395491.285738;-2978;-2082;-11197
1615395491.3155024;-2973;-2075;-11208
1615395491.3257415;-2971;-2077;-11208
1615395491.375449;-2971;-2085;-11206
1615395491.386213;-2960;-2072;-11200
1615395491.4151776;-2983;-2080;-11206
1615395491.4447622;-2981;-2072;-11188
1615395491.4559948;-2976;-2077;-11208
1615395491.474762;-2966;-2080;-11200
1615395491.4842782;-2966;-2075;-11213
1615395491.4946747;-2973;-2080;-11197
1615395491.505722;-2981;-2075;-11211
1615395491.523979;-2971;-2085;-11202
1615395491.5342457;-2981;-2080;-11202
1615395491.5440445;-2973;-2085;-11211
1615395491.555236;-2986;-2077;-11206
1615395491.5736988;-2986;-2080;-11218
1615395491.58346;-2973;-2087;-11202
1615395491.5933964;-2981;-2082;-11206
1615395491.6239254;-2976;-2070;-11181
1615395491.6547291;-2978;-2082;-11208
1615395491.6729517;-2966;-2085;-11208
1615395491.6826687;-2971;-2082;-11206
1615395491.6930084;-2968;-2077;-11202
1615395491.7037349;-2986;-2080;-11202
1615395491.722529;-2976;-2065;-11197
1615395491.7326806;-2968;-2070;-11206
1615395491.7431166;-2981;-2075;-11208
1615395491.754327;-2983;-2085;-11197
1615395491.7729025;-2962;-2070;-11211
1615395491.782709;-2973;-2077;-11195
1615395491.7925203;-2971;-2082;-11206
1615395491.8039336;-2981;-2080;-11211
1615395491.8222628;-2981;-2082;-11200
1615395491.8324642;-2968;-2097;-11202
1615395491.8422627;-2981;-2087;-11200
1615395491.8529794;-2986;-2077;-11208
1615395491.8720295;-2971;-2080;-11197
1615395491.9119954;-2968;-2082;-11202
1615395491.9311163;-2990;-2080;-11202
1615395491.9414692;-2973;-2085;-11197
1615395491.971164;-2981;-2077;-11213
1615395491.9814029;-2976;-2082;-11218
1615395491.991939;-2973;-2077;-11208
1615395492.0025356;-2976;-2072;-11200
1615395492.020747;-2962;-2085;-11197
1615395492.0311167;-2973;-2075;-11206
1615395492.040836;-2976;-2080;-11188
1615395492.0521297;-2971;-2072;-11202
1615395492.0706415;-2981;-2080;-11206
1615395492.0808194;-2983;-2090;-11218
1615395492.0904684;-2990;-2080;-11213
1615395492.101615;-2973;-2077;-11213
1615395492.1200974;-2968;-2090;-11197
1615395492.1302958;-2973;-2087;-11206
1615395492.1402605;-2968;-2090;-11208
1615395492.1515539;-2976;-2080;-11211
1615395492.1696792;-2966;-2087;-11211
1615395492.179813;-2973;-2075;-11206
1615395492.2098663;-2971;-2087;-11195
1615395492.2206466;-2971;-2070;-11200
1615395492.239106;-2971;-2077;-11200
1615395492.279831;-2957;-2075;-11211
1615395492.3091073;-2966;-2065;-11202
1615395492.3288805;-2973;-2072;-11197
1615395492.3386655;-2968;-2080;-11197
1615395492.4187536;-2983;-2082;-11195
1615395492.4491463;-2978;-2080;-11200
1615395492.4782326;-2973;-2075;-11218
1615395492.5080025;-2966;-2070;-11197
1615395492.5373602;-2962;-2065;-11183
1615395492.5489757;-2973;-2077;-11208
1615395492.6172378;-2973;-2095;-11206
1615395492.6272027;-2973;-2092;-11206
1615395492.657093;-2966;-2070;-11206
1615395492.686929;-2983;-2080;-11195
1615395492.697777;-2981;-2072;-11206
1615395492.7163975;-2976;-2075;-11197
1615395492.7263734;-2978;-2072;-11192
1615395492.8257592;-2973;-2090;-11211
1615395492.85554;-2947;-2095;-11211
1615395492.8851323;-2966;-2127;-11230
1615395492.8964982;-2966;-2135;-11246
1615395492.9147584;-2960;-2145;-11248
1615395492.9249382;-2947;-2140;-11262
1615395492.9349072;-2947;-2147;-11260
1615395492.946422;-2950;-2177;-11282
1615395492.9643106;-2928;-2190;-11298
1615395492.974624;-2923;-2210;-11306
1615395492.9842749;-2933;-2220;-11322
1615395492.9957123;-2923;-2242;-11342
1615395493.0143595;-2918;-2272;-11358
1615395493.0242753;-2907;-2292;-11377
1615395493.0341384;-2910;-2310;-11407
1615395493.0457895;-2905;-2322;-11415
1615395493.0639353;-2888;-2362;-11440
1615395493.0741377;-2876;-2377;-11467
1615395493.0842347;-2878;-2397;-11481
1615395493.0947816;-2862;-2437;-11497
1615395493.1135564;-2845;-2485;-11508
1615395493.123327;-2833;-2502;-11546
1615395493.1334736;-2826;-2527;-11567
1615395493.1445975;-2817;-2557;-11581
1615395493.1633291;-2793;-2597;-11601
1615395493.1734045;-2783;-2627;-11617
1615395493.1834023;-2765;-2650;-11641
1615395493.194714;-2765;-2682;-11655
1615395493.2135773;-2733;-2707;-11671
1615395493.2233863;-2720;-2757;-11703
1615395493.2332275;-2710;-2785;-11712
1615395493.2439818;-2707;-2812;-11717
1615395493.2626476;-2662;-2857;-11721
1615395493.2725828;-2667;-2890;-11726
1615395493.282867;-2636;-2895;-11733
1615395493.293879;-2636;-2940;-11742
1615395493.312315;-2617;-2992;-11737
1615395493.3222415;-2601;-3002;-11745
1615395493.3325648;-2591;-3025;-11750
1615395493.3438876;-2567;-3050;-11742
1615395493.3615506;-2536;-3077;-11723
1615395493.3723516;-2517;-3105;-11728
1615395493.3818946;-2510;-3125;-11717
1615395493.3930836;-2498;-3147;-11703
1615395493.411726;-2462;-3195;-11677
1615395493.4217956;-2451;-3205;-11671
1615395493.4315786;-2438;-3230;-11650
1615395493.442777;-2425;-3237;-11641
1615395493.4613712;-2385;-3267;-11595
1615395493.4711206;-2353;-3277;-11562
1615395493.4810815;-2358;-3287;-11535
1615395493.4921849;-2338;-3315;-11525
1615395493.5109289;-2298;-3342;-11465
1615395493.521006;-2277;-3352;-11435
1615395493.5307755;-2267;-3365;-11407
1615395493.5424716;-2261;-3380;-11377
1615395493.5606384;-2222;-3390;-11312
1615395493.5706973;-2220;-3395;-11278
1615395493.5805392;-2196;-3410;-11241
