unixtime;input;time;count;delta_t;ESP_CC;delta_cc;cc_overflow_count;time_print[all_mikrosec]
1615395484.0006518;9;3440567781;3368;302167684;461469047;1078656426;128;177
1615395484.2632723;9;3440830744;3369;262963;503516680;42047633;128;178
1615395484.4798281;9;3441047479;3370;216735;538159040;34642360;128;145
1615395484.8765385;9;3441444236;3371;396757;601604698;63445658;128;403
1615395489.8822465
1615395493.0793843;9;3449646608;3372;8202372;1913367980;1311763282;128;148
1615395493.2370574;9;3449805053;3373;158445;1938701497;25333517;128;121
1615395493.3605726;9;3449928457;3374;123404;1958428570;19727073;128;121
1615395493.4787028;9;3450046671;3375;118214;1977325031;18896461;128;125
1615395493.5931034;9;3450161286;3376;114615;1995645802;18320771;128;123
1615395493.7089853;9;3450276721;3377;115435;2014106407;18460605;128;109
1615395493.8151674;9;3450382351;3378;105630;2030998479;16892072;128;105
1615395493.930072;9;3450498312;3379;115961;2049534624;18536145;128;136
1615395494.0239396;9;3450592104;3380;93792;2064532201;14997577;128;92
1615395494.135329;9;3450703215;3381;111111;2082301323;17769122;128;105
1615395494.2198586;9;3450787526;3382;84311;2095773388;13472065;128;135
1615395494.329916;9;3450897947;3383;110421;2113431785;17658397;128;93
1615395494.4119308;9;3450979978;3384;82031;2126547989;13116204;128;89
1615395494.51835;9;3451086730;3385;106752;2143628415;17080426;128;82
1615395494.6030633;9;3451170839;3386;84109;2157085771;13457356;128;81
1615395494.697468;9;3451265379;3387;94540;2172212277;15126506;128;81
1615395494.7823634;9;3451350584;3388;85205;2185827631;13615354;128;108
1615395494.8766282;9;3451444284;3389;93700;2200819717;14992086;128;80
1615395494.9600194;9;3451527727;3390;83443;2214170515;13350798;128;80
1615395495.053763;9;3451621951;3391;94224;2229246321;15075806;128;81
1615395495.13516;9;3451703073;3392;81122;2242208557;12962236;128;88
1615395495.2170517;9;3451785125;3393;82052;2255336789;13128232;128;85
1615395495.3001826;9;3451868197;3394;83072;2268628401;13291612;128;81
1615395495.3947666;9;3451962441;3395;94244;2283707335;15078934;128;81
1615395495.473902;9;3452042136;3396;79695;2296458665;12751330;128;81
1615395495.5673218;9;3452135214;3397;93078;2311342309;14883644;128;93
1615395495.7414138;9;3452309543;3398;174329;2339234951;27892642;128;102
1615395495.8190749;9;3452387174;3399;77631;2351646958;12412007;128;135
1615395495.9122157;9;3452480142;3400;92968;2366513242;14866284;128;92
1615395495.992783;9;3452560982;3401;80840;2379438832;12925590;128;104
1615395496.0872517;9;3452655156;3402;94174;2394489071;15050239;128;135
1615395496.1652558;9;3452733250;3403;78094;2406984035;12494964;128;81
1615395496.2599273;9;3452827913;3404;94663;2422112400;15128365;128;104
1615395496.3357158;9;3452904045;3405;76132;2434293572;12181172;128;85
1615395496.4334316;9;3453001209;3406;97164;2449822159;15528587;128;135
1615395496.507948;9;3453075856;3407;74647;2461756596;11934437;128;92
1615395496.6028266;9;3453170830;3408;94974;2476943818;15187222;128;104
1615395496.681799;9;3453249924;3409;79094;2489581253;12637435;128;136
1615395496.7756894;9;3453343852;3410;93928;2504609699;15028446;128;81
1615395496.8613014;9;3453429262;3411;85410;2518257520;13647821;128;104
1615395496.9632523;9;3453531192;3412;101930;2534557447;16299927;128;124
1615395497.0384767;9;3453606114;3413;74922;2546536141;11978694;128;104
1615395497.1345081;9;3453702306;3414;96192;2561909254;15373113;128;135
1615395497.2106166;9;3453779080;3415;76774;2574193130;12283876;128;81
1615395497.312494;9;3453880588;3416;101508;2590416605;16223475;128;94
1615395497.486158;9;3454053887;3417;173299;2618144501;27727896;128;82
1615395497.556558;9;3454124293;3418;70406;2629409391;11264890;128;81
1615395497.6618826;9;3454228624;3419;104331;2646093695;16684304;128;90
1615395497.727402;9;3454295591;3420;66967;2656799825;10706130;128;92
1615395497.832719;9;3454401103;3421;105512;2673681659;16881834;128;82
1615395497.9911137;9;3454559320;3422;158217;2698996441;25314782;128;86
1615395498.1667619;9;3454734513;3423;175193;2727009883;28013442;128;110
1615395498.2382927;9;3454805979;3424;71466;2738444467;11434584;128;80
1615395498.3373027;9;3454905435;3425;99456;2754357371;15912904;128;81
1615395498.412717;9;3454981280;3426;75845;2766492569;12135198;128;80
1615395498.516011;9;3455083752;3427;102472;2782879475;16386906;128;93
1615395498.5847013;9;3455152507;3428;68755;2793880225;11000750;128;100
1615395498.6875165;9;3455255379;3429;102872;2810339825;16459600;128;82
1615395498.8547494;9;3455422665;3430;167286;2837087894;26748069;128;141
1615395498.9275658;9;3455495569;3431;72904;2848743834;11655940;128;96
1615395499.0212266;9;3455589251;3432;93682;2863715189;14971355;128;132
1615395499.1913025;9;3455759634;3433;170383;2890958930;27243741;128;110
1615395499.2617865;9;3455830251;3434;70617;2902257582;11298652;128;80
1615395499.3643417;9;3455931895;3435;101644;2918502871;16245289;128;133
1615395499.4321585;9;3455999470;3436;67575;2929314941;10812070;128;85
1615395499.5325325;9;3456100250;3437;100780;2945421966;16107025;128;110
1615395499.7044845;9;3456271935;3438;171685;2972874021;27452055;128;137
1615395499.8662136;9;3456434380;3439;162445;2998847412;25973391;128;102
1615395499.9289055;9;3456496809;3440;62429;3008818343;9970931;128;135
1615395500.026146;9;3456594215;3441;97406;3024403385;15585042;128;80
1615395500.1820085;9;3456750231;3442;156016;3049348296;24944911;128;110
1615395500.2357035;9;3456804162;3443;53931;3057959465;8611169;128;111
1615395500.3243394;9;3456892695;3444;88533;3072124803;14165338;128;81
1615395500.3821;9;3456950291;3445;57596;3081340095;9215292;128;80
1615395500.4745145;9;3457042498;3446;92207;3096093297;14753202;128;81
1615395500.529065;9;3457096938;3447;54440;3104803655;8710358;128;79
1615395500.6151605;9;3457182127;3448;85189;3118416517;13612862;128;92
1615395500.6697628;9;3457237906;3449;55779;3127341217;8924700;128;80
1615395500.7536306;9;3457321779;3450;83873;3140760869;13419652;128;81
1615395500.896907;9;3457465080;3451;143301;3163689071;22928202;128;82
1615395501.0367823;9;3457605007;3452;139927;3186059949;22370878;128;94
1615395501.176659;9;3457743401;3453;138394;3208203019;22143070;128;87
1615395501.310325;9;3457878381;3454;134980;3229799871;21596852;128;82
1615395501.359604;9;3457927619;3455;49238;3237677865;7877994;128;80
1615395501.4418654;9;3458009611;3456;81992;3250787891;13110026;128;108
1615395501.4905846;9;3458058465;3457;48854;3258604499;7816608;128;84
1615395501.5764923;9;3458144314;3458;85849;3272340349;13735850;128;96
1615395501.6236963;9;3458191827;3459;47513;3279942447;7602098;128;79
1615395501.703186;9;3458271259;3460;79432;3292642686;12700239;128;135
1615395501.8255432;9;3458393680;3461;122421;3312212600;19569914;128;110
1615395501.874507;9;3458442817;3462;49137;3320074590;7861990;128;80
1615395501.9474938;9;3458515185;3463;72368;3331644445;11569855;128;136
1615395501.9965463;9;3458564520;3464;49335;3339529257;7884812;128;80
1615395502.0681515;9;3458636404;3465;71884;3351021678;11492421;128;123
1615395502.1810298;9;3458749264;3466;112860;3369070622;18048944;128;109
1615395502.2793553;9;3458846369;3467;97105;3384589819;15519197;128;128
1615395502.3201754;9;3458888312;3468;41943;3391300677;6710858;128;80
1615395502.385064;9;3458953078;3469;64766;3401654144;10353467;128;96
1615395502.4869323;9;3459055096;3470;102018;3417968480;16314336;128;102
1615395502.5898814;9;3459158110;3471;103014;3434432921;16464441;128;137
1615395502.6974258;9;3459265326;3472;107216;3451578510;17145589;128;97
1615395502.7395017;9;3459306982;3473;41656;3458234866;6656356;128;115
1615395502.8059838;9;3459374496;3474;67514;3469037086;10802220;128;80
1615395502.9171016;9;3459485582;3475;111086;3486793055;17755969;128;125
1615395503.0317776;9;3459600076;3476;114494;3505094436;18301381;128;122
1615395503.3866296;9;3459954774;3477;354698;3561828507;56734071;128;111
1615395503.5096636;9;3460077829;3478;123055;3581517209;19688702;128;82
1615395503.634585;9;3460202623;3479;124794;3601466957;19949748;128;94
1615395503.7644806;9;3460332519;3480;129896;3622250207;20783250;128;82
1615395503.8965168;9;3460464681;3481;132162;3643396129;21145922;128;83
1615395503.9502647;9;3460518385;3482;53704;3651971523;8575394;128;92
1615395504.0350966;9;3460603030;3483;84645;3665514705;13543182;128;81
1615395504.180096;9;3460747661;3484;144631;3688655569;23140864;128;83
1615395504.2393575;9;3460807621;3485;59960;3698249197;9593628;128;80
1615395504.321013;9;3460888314;3486;80693;3711151375;12902178;128;109
1615395504.379103;9;3460947393;3487;59079;3720604021;9452646;128;84
1615395504.4645088;9;3461032769;3488;85376;3734264283;13660262;128;97
1615395504.519354;9;3461087551;3489;54782;3743029403;8765120;128;80
1615395504.6033733;9;3461171809;3490;84258;3756501666;13472263;128;136
1615395504.7433462;9;3461311152;3491;139343;3778779094;22277428;128;110
1615395504.8864381;9;3461454121;3492;142969;3801636483;22857389;128;137
1615395504.9393473;9;3461507456;3493;53335;3810170139;8533656;128;80
1615395505.029916;9;3461597801;3494;90345;3824616216;14446077;128;124
1615395505.1710784;9;3461739418;3495;141617;3847257299;22641083;128;141
1615395505.2312648;9;3461799527;3496;60109;3856866039;9608740;128;96
1615395505.3166208;9;3461884976;3497;85449;3870528982;13662943;128;124
1615395505.37827;9;3461946754;3498;61778;3880404702;9875720;128;100
1615395505.4673176;9;3462035625;3499;88871;3894615005;14210303;128;124
1615395505.5260863;9;3462094535;3500;58910;3904031955;9416950;128;108
1615395505.6162179;9;3462184197;3501;89662;3918368912;14336957;128;124
1615395505.673137;9;3462241028;3502;56831;3927453112;9084200;128;100
1615395505.7626305;9;3462330509;3503;89481;3941770130;14317018;128;81
1615395505.9070961;9;3462475155;3504;144646;3964895781;23125651;128;137
1615395505.9650443;9;3462533056;3505;57901;3974142236;9246455;128;99
1615395506.049234;9;3462617491;3506;84435;3987651912;13509676;128;85
1615395506.1100636;9;3462678085;3507;60594;3997329251;9677339;128;119
1615395506.192999;9;3462761241;3508;83156;4010634243;13304992;128;81
1615395506.327599;9;3462895552;3509;134311;4032123957;21489714;128;82
1615395506.469283;9;3463037489;3510;141937;4054825163;22701206;128;90
1615395506.5357397;9;3463103984;3511;66495;4065455627;10630464;128;93
1615395506.617524;9;3463185725;3512;81741;4078534289;13078662;128;80
1615395506.682349;9;3463250516;3513;64791;4088900773;10366484;128;80
1615395506.7650025;9;3463332833;3514;82317;4102071605;13170832;128;81
1615395506.8347962;9;3463402927;3515;70094;4113286595;11214990;128;81
1615395506.917035;9;3463485046;3516;82119;4126408179;13121584;128;93
1615395507.07683;9;3463644606;3517;159560;4151937849;25529670;128;83
1615395507.1470106;9;3463715654;3518;71048;4163305569;11367720;128;81
1615395507.2351303;9;3463803366;3519;87712;4177339513;14033944;128;81
1615395507.3107092;9;3463878604;3520;75238;4189368817;12029304;128;93
1615395507.40657;9;3463974533;3521;95929;4204717525;15348708;128;101
1615395507.482801;9;3464050956;3522;76423;4216945219;12227694;128;81
1615395507.5860474;9;3464153832;3523;102876;4233396362;16451143;128;137
1615395507.666402;9;3464234016;3524;80184;4246217090;12820728;128;88
1615395507.7690964;9;3464337116;3525;103100;4262704312;16487222;128;109
1615395507.8482885;9;3464416452;3526;79336;4275380495;12676183;128;131
1615395507.9551191;9;3464523088;3527;106636;4292433192;17052697;128;98
1615395508.03163;9;3464600263;3528;77175;9805168;12339271;129;98
1615395508.1423414;9;3464710582;3529;110319;27438549;17633381;129;132
1615395508.2223947;9;3464790987;3530;80405;40303319;12864770;129;76
1615395508.3504775;9;3464918589;3531;127602;60702016;20398697;129;105
1615395508.4020147;9;3464969835;3532;51246;68892415;8190399;129;115
1615395508.5087318;9;3465076614;3533;106779;85968387;17075972;129;101
1615395508.600259;9;3465168285;3534;91671;100618014;14649627;129;133
1615395508.71037;9;3465278079;3535;109794;118176035;17558021;129;90
1615395508.7896779;9;3465357886;3536;79807;130936411;12760376;129;101
1615395508.9006693;9;3465468530;3537;110644;148621888;17685477;129;134
1615395508.9781978;9;3465546387;3538;77857;161078906;12457018;129;78
1615395509.0802548;9;3465648570;3539;102183;177410621;16331715;129;90
1615395509.1546946;9;3465722714;3540;74144;189273551;11862930;129;77
1615395509.2558682;9;3465823761;3541;101047;205441075;16167524;129;83
1615395509.3263805;9;3465893909;3542;70148;216664713;11223638;129;78
1615395509.42817;9;3465995398;3543;101489;232894391;16229678;129;103
1615395509.4963992;9;3466063744;3544;68346;243820997;10926606;129;82
1615395509.5914996;9;3466159324;3545;95580;259113773;15292776;129;78
1615395509.6625795;9;3466230887;3546;71563;270563909;11450136;129;78
1615395509.7521193;9;3466320055;3547;89168;284830791;14266882;129;78
1615395509.8273726;9;3466395487;3548;75432;296882471;12051680;129;86
1615395509.9128535;9;3466480807;3549;85320;310533755;13651284;129;83
1615395510.0743916;9;3466642777;3550;161970;336448945;25915190;129;80
1615395510.1503325;9;3466718457;3551;75680;348557701;12108756;129;78
1615395510.2343707;9;3466802862;3552;84405;362053809;13496108;129;86
1615395510.3083227;9;3466878181;3553;75319;374104807;12050998;129;86
1615395510.3105366;9;3466878844;3554;663;374210981;106174;129;148
1615395510.3950171;9;3466963063;3555;84219;387686031;13475050;129;79
1615395510.4703152;9;3467038339;3556;75276;399721228;12035197;129;129
1615395510.5540638;9;3467122181;3557;83842;413135874;13414646;129;82
1615395510.632629;9;3467200692;3558;78511;425680206;12544332;129;102
1615395510.7152236;9;3467283825;3559;83133;438981570;13301364;129;82
1615395510.7898905;9;3467358219;3560;74394;450866967;11885397;129;134
1615395510.8739946;9;3467442228;3561;84009;464308323;13441356;129;79
1615395510.944566;9;3467512527;3562;70299;475538558;11230235;129;102
1615395511.0238125;9;3467591847;3563;79320;488229640;12691082;129;82
1615395511.0946004;9;3467662554;3564;70707;499525049;11295409;129;133
1615395511.1706579;9;3467738714;3565;76160;511710657;12185608;129;79
1615395511.3138473;9;3467881834;3566;143120;534592180;22881523;129;107
1615395511.38133;9;3467949361;3567;67527;545378871;10786691;129;129
1615395511.4543357;9;3468022802;3568;73441;557129493;11750622;129;79
1615395511.5198157;9;3468087707;3569;64905;567505264;10375771;129;90
1615395511.5913515;9;3468159495;3570;71788;578982582;11477318;129;102
1615395511.6493733;9;3468217247;3571;57752;588213865;9231283;129;117
1615395511.721235;9;3468289053;3572;71806;599694173;11480308;129;106
1615395511.7743413;9;3468342893;3573;53840;608308555;8614382;129;78
1615395511.838009;9;3468406095;3574;63202;618403266;10094711;129;129
1615395511.8920743;9;3468460366;3575;54271;627086654;8683388;129;82
1615395511.9526536;9;3468520936;3576;60570;636768793;9682139;129;89
1615395512.0100055;9;3468578420;3577;57484;645957527;9188734;129;90
1615395512.071912;9;3468640420;3578;62000;655877595;9920068;129;78
1615395512.1975703;9;3468765444;3579;125024;675881411;20003816;129;80
1615395512.2600074;9;3468827709;3580;62265;685843873;9962462;129;78
1615395512.3301485;9;3468898150;3581;70441;697114431;11270558;129;78
1615395512.3904383;9;3468958586;3582;60436;706766719;9652288;129;106
1615395512.470965;9;3469039648;3583;81062;719736655;12969936;129;79
1615395512.5330384;9;3469101561;3584;61913;729642831;9906176;129;77
1615395512.6126387;9;3469180132;3585;78571;742214131;12571300;129;79
1615395512.6855557;9;3469253989;3586;73857;754031281;11817150;129;79
1615395512.7696543;9;3469338087;3587;84098;767469537;13438256;129;87
1615395512.9415011;9;3469509603;3588;171516;794912131;27442594;129;85
1615395513.024137;9;3469592317;3589;82714;808146293;13234162;129;79
1615395513.1209483;9;3469689106;3590;96789;823623875;15477582;129;87
1615395513.2174048;9;3469785690;3591;96584;839077281;15453406;129;87
1615395513.3191173;9;3469887140;3592;101450;855309393;16232112;129;96
1615395513.4226596;9;3469990281;3593;103141;871802916;16493523;129;131
1615395513.5319397;9;3470099569;3594;109288;889280324;17477408;129;96
1615395513.6330361;9;3470200718;3595;101149;905455366;16175042;129;104
1615395513.747915;9;3470316179;3596;115461;923911519;18456153;129;131
1615395513.845079;9;3470413713;3597;97534;939507964;15596445;129;95
1615395513.964301;9;3470532645;3598;118932;958528388;19020424;129;104
1615395514.0545952;9;3470622568;3599;89923;972898333;14369945;129;136
1615395514.1725175;9;3470740457;3600;117889;991743004;18844671;129;107
1615395514.259109;9;3470827554;3601;87097;1005678418;13935414;129;79
1615395514.3739085;9;3470941706;3602;114152;1023925121;18246703;129;136
1615395514.4636521;9;3471031925;3603;90219;1038342410;14417289;129;100
1615395514.5662663;9;3471134192;3604;102267;1054705146;16362736;129;81
1615395514.6583812;9;3471226832;3605;92640;1069509893;14804747;129;134
1615395514.7597992;9;3471327828;3606;100996;1085660198;16150305;129;97
1615395514.8498325;9;3471417708;3607;89880;1100032402;14372204;129;100
1615395514.9490469;9;3471517315;3608;99607;1115951731;15919329;129;119
1615395515.0338795;9;3471602123;3609;84808;1129521059;13569328;129;89
1615395515.117525;9;3471685574;3610;83451;1142873225;13352166;129;80
1615395515.2008102;9;3471768664;3611;83090;1156167569;13294344;129;80
1615395515.2941802;9;3471862159;3612;93495;1171118187;14950618;129;92
1615395515.464164;9;3472032297;3613;170138;1198331559;27213372;129;86
1615395515.5393746;9;3472107832;3614;75535;1210417165;12085606;129;83
1615395515.6306348;9;3472198653;3615;90821;1224948487;14531322;129;80
1615395515.7028906;9;3472271073;3616;72420;1236518353;11569866;129;107
1615395515.7881343;9;3472356251;3617;85178;1250146841;13628488;129;80
1615395515.8620522;9;3472430037;3618;73786;1261952601;11805760;129;80
1615395515.9466355;9;3472514947;3619;84910;1275538087;13585486;129;80
1615395516.0171711;9;3472585625;3620;70678;1286846665;11308578;129;80
1615395516.1032069;9;3472671568;3621;85943;1300588805;13742140;129;92
1615395516.172884;9;3472740914;3622;69346;1311684165;11095360;129;84
1615395516.261523;9;3472829540;3623;88626;1325864293;14180128;129;96
1615395516.3295348;9;3472897467;3624;67927;1336732607;10868314;129;80
1615395516.4160233;9;3472983985;3625;86518;1350566568;13833961;129;135
1615395516.4885411;9;3473056681;3626;72696;1362189208;11622640;129;88
1615395516.5752423;9;3473142401;3627;85720;1375895738;13706530;129;108
1615395516.6528926;9;3473220872;3628;78471;1388433441;12537703;129;127
1615395516.746588;9;3473314519;3629;93647;1403417007;14983566;129;80
1615395516.8149245;9;3473382797;3630;68278;1414323648;10906641;129;107
1615395516.9005325;9;3473468951;3631;86154;1428108286;13784638;129;80
1615395517.059398;9;3473627874;3632;158923;1453518327;25410041;129;136
1615395517.1218894;9;3473690222;3633;62348;1463476390;9958063;129;107
